workload,polynomial,arithmetic,layout,point_mode,field,bit_width,limbs,modulus_hex,rounds,N,vars,degree,terms,warmups,repeats,timing_mode,challenge_mode,triton_backend,triton_first_ms,triton_median_ms,triton_eval_median_ms,triton_challenge_median_ms,triton_fold_median_ms,triton_total_median_ms,triton_status,cuda_backend,cuda_first_ms,cuda_median_ms,cuda_eval_median_ms,cuda_challenge_median_ms,cuda_fold_median_ms,cuda_total_median_ms,cuda_status,checksum_match,triton_checksum,cuda_checksum,cuda_speedup_vs_triton,skip_reason,log_path
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,14,16384,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,44.276,6.640,0.000,0.000000,0.000,6.640,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,1.76691,1.58211,0,0,0,1.58211,ok,true,1599485407520,1599485407520,4.196927,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw32_r14.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,16,65536,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,45.436,8.576,0.000,0.000000,0.000,8.576,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,2.07014,1.92035,0,0,0,1.92035,ok,true,1624484952285,1624484952285,4.465853,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw32_r16.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,18,262144,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,48.899,11.105,0.000,0.000000,0.000,11.105,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,2.40294,2.23434,0,0,0,2.23434,ok,true,2146078888343,2146078888343,4.970148,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw32_r18.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,20,1048576,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,51.425,13.774,0.000,0.000000,0.000,13.774,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,2.75309,2.63117,0,0,0,2.63117,ok,true,2470931911396,2470931911396,5.234934,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw32_r20.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,22,4194304,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,54.293,16.844,0.000,0.000000,0.000,16.844,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,3.82752,3.64694,0,0,0,3.64694,ok,true,2157693522283,2157693522283,4.618667,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw32_r22.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,24,16777216,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,60.356,22.596,0.000,0.000000,0.000,22.596,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,5.57338,5.43914,0,0,0,5.43914,ok,true,2375914940126,2375914940126,4.154333,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw32_r24.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,26,67108864,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,79.037,43.460,0.000,0.000000,0.000,43.460,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,10.7015,10.5475,0,0,0,10.5475,ok,true,2831931003447,2831931003447,4.120408,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw32_r26.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,28,268435456,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,177.892,123.650,0.000,0.000000,0.000,123.650,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,32.0943,31.9944,0,0,0,31.9944,ok,true,3232649452617,3232649452617,3.864739,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw32_r28.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p64_goldilocks,64,2,0xffffffff00000001,14,16384,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,7122.736,6.819,0.000,0.000000,0.000,6.819,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,1.79898,1.54051,0,0,0,1.54051,ok,true,5168600605142,5168600605142,4.426456,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw64_r14.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p64_goldilocks,64,2,0xffffffff00000001,16,65536,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,46.282,8.772,0.000,0.000000,0.000,8.772,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,2.17942,1.9376,0,0,0,1.9376,ok,true,5266499962100,5266499962100,4.527250,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw64_r16.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p64_goldilocks,64,2,0xffffffff00000001,18,262144,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,50.454,11.162,0.000,0.000000,0.000,11.162,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,2.5896,2.37846,0,0,0,2.37846,ok,true,5362643442442,5362643442442,4.692953,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw64_r18.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p64_goldilocks,64,2,0xffffffff00000001,20,1048576,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,52.462,13.814,0.000,0.000000,0.000,13.814,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,3.15088,2.91578,0,0,0,2.91578,ok,true,6966115824785,6966115824785,4.737669,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw64_r20.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p64_goldilocks,64,2,0xffffffff00000001,22,4194304,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,54.877,16.852,0.000,0.000000,0.000,16.852,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,4.28918,4.0991,0,0,0,4.0991,ok,true,7467867648761,7467867648761,4.111146,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw64_r22.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p64_goldilocks,64,2,0xffffffff00000001,24,16777216,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,61.645,24.191,0.000,0.000000,0.000,24.191,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,7.4217,7.21981,0,0,0,7.21981,ok,true,7771122337472,7771122337472,3.350642,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw64_r24.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p64_goldilocks,64,2,0xffffffff00000001,26,67108864,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,84.540,45.839,0.000,0.000000,0.000,45.839,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,18.5198,18.3182,0,0,0,18.3182,ok,true,8978389378478,8978389378478,2.502375,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw64_r26.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p64_goldilocks,64,2,0xffffffff00000001,28,268435456,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,170.475,134.090,0.000,0.000000,0.000,134.090,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,61.393,61.5212,0,0,0,61.5212,ok,true,9431506424483,9431506424483,2.179574,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw64_r28.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p128_mersenne_2^127_minus_1,128,4,0x7fffffffffffffffffffffffffffffff,14,16384,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,47567.104,6.892,0.000,0.000000,0.000,6.892,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,1.90147,1.56502,0,0,0,1.56502,ok,true,8144309251624,8144309251624,4.403778,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw128_r14.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p128_mersenne_2^127_minus_1,128,4,0x7fffffffffffffffffffffffffffffff,16,65536,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,48.888,8.841,0.000,0.000000,0.000,8.841,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,2.24054,1.94266,0,0,0,1.94266,ok,true,10784965232717,10784965232717,4.550976,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw128_r16.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p128_mersenne_2^127_minus_1,128,4,0x7fffffffffffffffffffffffffffffff,18,262144,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,51.409,11.286,0.000,0.000000,0.000,11.286,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,2.68682,2.38765,0,0,0,2.38765,ok,true,12197865013282,12197865013282,4.726823,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw128_r18.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p128_mersenne_2^127_minus_1,128,4,0x7fffffffffffffffffffffffffffffff,20,1048576,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,54.377,13.906,0.000,0.000000,0.000,13.906,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,3.53469,3.25443,0,0,0,3.25443,ok,true,14094248855128,14094248855128,4.272945,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw128_r20.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p128_mersenne_2^127_minus_1,128,4,0x7fffffffffffffffffffffffffffffff,22,4194304,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,57.657,17.390,0.000,0.000000,0.000,17.390,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,5.3903,5.11539,0,0,0,5.11539,ok,true,16141337263311,16141337263311,3.399545,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw128_r22.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p128_mersenne_2^127_minus_1,128,4,0x7fffffffffffffffffffffffffffffff,24,16777216,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,69.681,28.370,0.000,0.000000,0.000,28.370,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,11.2039,10.9641,0,0,0,10.9641,ok,true,20554208068290,20554208068290,2.587536,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw128_r24.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p128_mersenne_2^127_minus_1,128,4,0x7fffffffffffffffffffffffffffffff,26,67108864,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,110.652,67.518,0.000,0.000000,0.000,67.518,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,33.3181,33.05,0,0,0,33.05,ok,true,22642076559258,22642076559258,2.042905,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw128_r26.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p128_mersenne_2^127_minus_1,128,4,0x7fffffffffffffffffffffffffffffff,28,268435456,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,261.689,223.480,0.000,0.000000,0.000,223.480,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,122.515,119.874,0,0,0,119.874,ok,true,23995087662702,23995087662702,1.864291,,results/tmp_full_zk_r14_28/zk_verifiable_asics_bw128_r28.log
