workload,polynomial,arithmetic,layout,point_mode,field,bit_width,limbs,modulus_hex,rounds,N,vars,degree,terms,warmups,repeats,timing_mode,challenge_mode,triton_backend,triton_first_ms,triton_median_ms,triton_eval_median_ms,triton_challenge_median_ms,triton_fold_median_ms,triton_total_median_ms,triton_status,cuda_backend,cuda_first_ms,cuda_median_ms,cuda_eval_median_ms,cuda_challenge_median_ms,cuda_fold_median_ms,cuda_total_median_ms,cuda_status,checksum_match,triton_checksum,cuda_checksum,cuda_speedup_vs_triton,skip_reason,log_path
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p255_bls12_381_scalar,256,8,0x73eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001,14,16384,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,3777.744,6.740,0.000,0.000000,0.000,6.740,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,2.65566,1.98127,0,0,0,1.98127,ok,true,47415430552295,47415430552295,3.401858,,CAMERA-READY/h100/sweep_fixed/cases_zk_256/zk_verifiable_asics_bw256_r14.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p255_bls12_381_scalar,256,8,0x73eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001,16,65536,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,76.866,6.791,0.000,0.000000,0.000,6.791,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,2.65063,2.12345,0,0,0,2.12345,ok,true,59790763300346,59790763300346,3.198097,,CAMERA-READY/h100/sweep_fixed/cases_zk_256/zk_verifiable_asics_bw256_r16.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p255_bls12_381_scalar,256,8,0x73eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001,18,262144,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,84.076,9.273,0.000,0.000000,0.000,9.273,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,3.84252,3.11318,0,0,0,3.11318,ok,true,64454544819704,64454544819704,2.978626,,CAMERA-READY/h100/sweep_fixed/cases_zk_256/zk_verifiable_asics_bw256_r18.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p255_bls12_381_scalar,256,8,0x73eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001,20,1048576,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,82.468,11.261,0.000,0.000000,0.000,11.261,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,5.45716,4.83373,0,0,0,4.83373,ok,true,70416093270679,70416093270679,2.329671,,CAMERA-READY/h100/sweep_fixed/cases_zk_256/zk_verifiable_asics_bw256_r20.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p255_bls12_381_scalar,256,8,0x73eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001,22,4194304,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,86.093,17.013,0.000,0.000000,0.000,17.013,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,9.90588,9.23804,0,0,0,9.23804,ok,true,79426890959858,79426890959858,1.841624,,CAMERA-READY/h100/sweep_fixed/cases_zk_256/zk_verifiable_asics_bw256_r22.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p255_bls12_381_scalar,256,8,0x73eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001,24,16777216,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,104.077,37.473,0.000,0.000000,0.000,37.473,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,25.7705,25.079,0,0,0,25.079,ok,true,84370170378416,84370170378416,1.494198,,CAMERA-READY/h100/sweep_fixed/cases_zk_256/zk_verifiable_asics_bw256_r24.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,p255_bls12_381_scalar,256,8,0x73eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001,26,67108864,4,3,3,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,195.161,119.480,0.000,0.000000,0.000,119.480,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,88.4515,90.0693,0,0,0,90.0693,ok,true,94693997208616,94693997208616,1.326534,,CAMERA-READY/h100/sweep_fixed/cases_zk_256/zk_verifiable_asics_bw256_r26.log
zk_verifiable_asics,qadd*a + qadd*b + qmul*a*b,prime-field-montgomery,element,specialized,,256,,,28,268435456,4,3,3,2,10,whole-run,fixed,,,,,,,,skipped,,,,,,,,skipped,skipped,,,,returncode=1,CAMERA-READY/h100/sweep_fixed/cases_zk_256/zk_verifiable_asics_bw256_r28.log
zk_spartan_1,A*B*fz - C*fz,prime-field-montgomery,element,specialized,p255_bls12_381_scalar,256,8,0x73eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001,14,16384,4,3,2,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,73.955,5.237,0.000,0.000000,0.000,5.237,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,2.4709,1.85724,0,0,0,1.85724,ok,true,47792807030865,47792807030865,2.819776,,CAMERA-READY/h100/sweep_fixed/cases_zk_256/zk_spartan_1_bw256_r14.log
zk_spartan_1,A*B*fz - C*fz,prime-field-montgomery,element,specialized,p255_bls12_381_scalar,256,8,0x73eda753299d7d483339d80809a1d80553bda402fffe5bfeffffffff00000001,16,65536,4,3,2,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points,76.029,6.840,0.000,0.000000,0.000,6.840,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,3.13493,2.38657,0,0,0,2.38657,ok,true,56369938536483,56369938536483,2.866038,,CAMERA-READY/h100/sweep_fixed/cases_zk_256/zk_spartan_1_bw256_r16.log
