workload,polynomial,arithmetic,layout,point_mode,field,bit_width,limbs,modulus_hex,rounds,N,vars,degree,terms,warmups,repeats,timing_mode,challenge_mode,triton_backend,triton_first_ms,triton_median_ms,triton_eval_median_ms,triton_challenge_median_ms,triton_fold_median_ms,triton_total_median_ms,triton_status,cuda_backend,cuda_first_ms,cuda_median_ms,cuda_eval_median_ms,cuda_challenge_median_ms,cuda_fold_median_ms,cuda_total_median_ms,cuda_status,checksum_match,triton_checksum,cuda_checksum,cuda_speedup_vs_triton,skip_reason,log_path
zk_jellyfish_zerocheck_hp,qL*w1*fz + qR*w2*fz + qM*w1*w2*fz - qO*w3*fz + q1*w1*fz + q2*w2*fz + q3*w3*fz + q4*w4*fz - qO*w5*fz + qM1*w1*w2*fz + qM2*w3*w4*fz + qH1*w1*w1*w1*w1*w1*fz + qH2*w2*w2*w2*w2*w2*fz + qH3*w3*w3*w3*w3*w3*fz + qH4*w4*w4*w4*w4*w4*fz + qECC*w1*w2*w3*w4*fz + qc*fz,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,14,16384,22,7,17,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points-treduce,231.241,8.643,0.000,0.000000,0.000,8.643,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,3.22672,2.76714,0,0,0,2.76714,ok,true,2823215150314,2823215150314,3.123442,,experiments/h100/sweep_treduce/cases/zk_jellyfish_zerocheck_hp_bw32_r14.log
zk_jellyfish_zerocheck_hp,qL*w1*fz + qR*w2*fz + qM*w1*w2*fz - qO*w3*fz + q1*w1*fz + q2*w2*fz + q3*w3*fz + q4*w4*fz - qO*w5*fz + qM1*w1*w2*fz + qM2*w3*w4*fz + qH1*w1*w1*w1*w1*w1*fz + qH2*w2*w2*w2*w2*w2*fz + qH3*w3*w3*w3*w3*w3*fz + qH4*w4*w4*w4*w4*w4*fz + qECC*w1*w2*w3*w4*fz + qc*fz,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,16,65536,22,7,17,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points-treduce,82.501,11.411,0.000,0.000000,0.000,11.411,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,3.78941,3.29018,0,0,0,3.29018,ok,true,3425196206978,3425196206978,3.468199,,experiments/h100/sweep_treduce/cases/zk_jellyfish_zerocheck_hp_bw32_r16.log
zk_jellyfish_zerocheck_hp,qL*w1*fz + qR*w2*fz + qM*w1*w2*fz - qO*w3*fz + q1*w1*fz + q2*w2*fz + q3*w3*fz + q4*w4*fz - qO*w5*fz + qM1*w1*w2*fz + qM2*w3*w4*fz + qH1*w1*w1*w1*w1*w1*fz + qH2*w2*w2*w2*w2*w2*fz + qH3*w3*w3*w3*w3*w3*fz + qH4*w4*w4*w4*w4*w4*fz + qECC*w1*w2*w3*w4*fz + qc*fz,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,18,262144,22,7,17,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points-treduce,86.212,15.396,0.000,0.000000,0.000,15.396,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,4.76202,4.20957,0,0,0,4.20957,ok,true,3886855567270,3886855567270,3.657381,,experiments/h100/sweep_treduce/cases/zk_jellyfish_zerocheck_hp_bw32_r18.log
zk_jellyfish_zerocheck_hp,qL*w1*fz + qR*w2*fz + qM*w1*w2*fz - qO*w3*fz + q1*w1*fz + q2*w2*fz + q3*w3*fz + q4*w4*fz - qO*w5*fz + qM1*w1*w2*fz + qM2*w3*w4*fz + qH1*w1*w1*w1*w1*w1*fz + qH2*w2*w2*w2*w2*w2*fz + qH3*w3*w3*w3*w3*w3*fz + qH4*w4*w4*w4*w4*w4*fz + qECC*w1*w2*w3*w4*fz + qc*fz,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,20,1048576,22,7,17,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points-treduce,89.845,19.718,0.000,0.000000,0.000,19.718,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,6.14038,5.64864,0,0,0,5.64864,ok,true,4455850897641,4455850897641,3.490752,,experiments/h100/sweep_treduce/cases/zk_jellyfish_zerocheck_hp_bw32_r20.log
zk_jellyfish_zerocheck_hp,qL*w1*fz + qR*w2*fz + qM*w1*w2*fz - qO*w3*fz + q1*w1*fz + q2*w2*fz + q3*w3*fz + q4*w4*fz - qO*w5*fz + qM1*w1*w2*fz + qM2*w3*w4*fz + qH1*w1*w1*w1*w1*w1*fz + qH2*w2*w2*w2*w2*w2*fz + qH3*w3*w3*w3*w3*w3*fz + qH4*w4*w4*w4*w4*w4*fz + qECC*w1*w2*w3*w4*fz + qc*fz,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,22,4194304,22,7,17,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points-treduce,94.162,24.213,0.000,0.000000,0.000,24.213,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,10.1401,9.69219,0,0,0,9.69219,ok,true,5014171901635,5014171901635,2.498197,,experiments/h100/sweep_treduce/cases/zk_jellyfish_zerocheck_hp_bw32_r22.log
zk_jellyfish_zerocheck_hp,qL*w1*fz + qR*w2*fz + qM*w1*w2*fz - qO*w3*fz + q1*w1*fz + q2*w2*fz + q3*w3*fz + q4*w4*fz - qO*w5*fz + qM1*w1*w2*fz + qM2*w3*w4*fz + qH1*w1*w1*w1*w1*w1*fz + qH2*w2*w2*w2*w2*w2*fz + qH3*w3*w3*w3*w3*w3*fz + qH4*w4*w4*w4*w4*w4*fz + qECC*w1*w2*w3*w4*fz + qc*fz,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,24,16777216,22,7,17,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points-treduce,107.424,38.864,0.000,0.000000,0.000,38.864,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,22.7673,22.3418,0,0,0,22.3418,ok,true,5521674021669,5521674021669,1.739520,,experiments/h100/sweep_treduce/cases/zk_jellyfish_zerocheck_hp_bw32_r24.log
zk_jellyfish_zerocheck_hp,qL*w1*fz + qR*w2*fz + qM*w1*w2*fz - qO*w3*fz + q1*w1*fz + q2*w2*fz + q3*w3*fz + q4*w4*fz - qO*w5*fz + qM1*w1*w2*fz + qM2*w3*w4*fz + qH1*w1*w1*w1*w1*w1*fz + qH2*w2*w2*w2*w2*w2*fz + qH3*w3*w3*w3*w3*w3*fz + qH4*w4*w4*w4*w4*w4*fz + qECC*w1*w2*w3*w4*fz + qc*fz,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,26,67108864,22,7,17,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points-treduce,160.953,93.977,0.000,0.000000,0.000,93.977,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,70.1486,70.7895,0,0,0,70.7895,ok,true,5898448727639,5898448727639,1.327556,,experiments/h100/sweep_treduce/cases/zk_jellyfish_zerocheck_hp_bw32_r26.log
zk_jellyfish_zerocheck_hp,qL*w1*fz + qR*w2*fz + qM*w1*w2*fz - qO*w3*fz + q1*w1*fz + q2*w2*fz + q3*w3*fz + q4*w4*fz - qO*w5*fz + qM1*w1*w2*fz + qM2*w3*w4*fz + qH1*w1*w1*w1*w1*w1*fz + qH2*w2*w2*w2*w2*w2*fz + qH3*w3*w3*w3*w3*w3*fz + qH4*w4*w4*w4*w4*w4*fz + qECC*w1*w2*w3*w4*fz + qc*fz,prime-field-montgomery,element,specialized,p32_2^32_minus_5,32,1,0xfffffffb,28,268435456,22,7,17,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points-treduce,376.199,314.130,0.000,0.000000,0.000,314.130,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,262.703,272.226,0,0,0,272.226,ok,true,6107584054299,6107584054299,1.153931,,experiments/h100/sweep_treduce/cases/zk_jellyfish_zerocheck_hp_bw32_r28.log
zk_jellyfish_zerocheck_hp,qL*w1*fz + qR*w2*fz + qM*w1*w2*fz - qO*w3*fz + q1*w1*fz + q2*w2*fz + q3*w3*fz + q4*w4*fz - qO*w5*fz + qM1*w1*w2*fz + qM2*w3*w4*fz + qH1*w1*w1*w1*w1*w1*fz + qH2*w2*w2*w2*w2*w2*fz + qH3*w3*w3*w3*w3*w3*fz + qH4*w4*w4*w4*w4*w4*fz + qECC*w1*w2*w3*w4*fz + qc*fz,prime-field-montgomery,element,specialized,p64_goldilocks,64,2,0xffffffff00000001,14,16384,22,7,17,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points-treduce,200.598,5.590,0.000,0.000000,0.000,5.590,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,5.15232,3.90659,0,0,0,3.90659,ok,true,9635345457894,9635345457894,1.430915,,experiments/h100/sweep_treduce/cases/zk_jellyfish_zerocheck_hp_bw64_r14.log
zk_jellyfish_zerocheck_hp,qL*w1*fz + qR*w2*fz + qM*w1*w2*fz - qO*w3*fz + q1*w1*fz + q2*w2*fz + q3*w3*fz + q4*w4*fz - qO*w5*fz + qM1*w1*w2*fz + qM2*w3*w4*fz + qH1*w1*w1*w1*w1*w1*fz + qH2*w2*w2*w2*w2*w2*fz + qH3*w3*w3*w3*w3*w3*fz + qH4*w4*w4*w4*w4*w4*fz + qECC*w1*w2*w3*w4*fz + qc*fz,prime-field-montgomery,element,specialized,p64_goldilocks,64,2,0xffffffff00000001,16,65536,22,7,17,2,10,whole-run,fixed,triton-sumcheck-prime-field-montgomery-element-layout-specialized-points-treduce,62.337,7.068,0.000,0.000000,0.000,7.068,ok,cuda-sumcheck-prime-field-montgomery-element-layout-specialized-points,6.11501,4.82838,0,0,0,4.82838,ok,true,10380823898445,10380823898445,1.463845,,experiments/h100/sweep_treduce/cases/zk_jellyfish_zerocheck_hp_bw64_r16.log
